Course Code,Course Title,Admin Video Path,Local File
"ARAB200","Arabic Language and Literature","/course-videos/ARAB200-Arabic-Language-and-Literature.mp4","C:\Users\ThinkPad\Desktop\Coursality course videos\ARAB200-Arabic-Language-and-Literature.mp4"
"CENG250","Digital Logic I","/course-videos/CENG250-Digital-Logic-I.mp4","C:\Users\ThinkPad\Desktop\Coursality course videos\CENG250-Digital-Logic-I.mp4"
"CENG325","Software Applications and Design","/course-videos/CENG325-Software-Applications-and-Design.mp4","C:\Users\ThinkPad\Desktop\Coursality course videos\CENG325-Software-Applications-and-Design.mp4"
"CENG335","Digital Logic II","/course-videos/CENG335-Digital-Logic-II.mp4","C:\Users\ThinkPad\Desktop\Coursality course videos\CENG335-Digital-Logic-II.mp4"
"CENG352L","Digital Logic Circuits Lab","/course-videos/CENG352L-Digital-Logic-Circuits-Lab.mp4","C:\Users\ThinkPad\Desktop\Coursality course videos\CENG352L-Digital-Logic-Circuits-Lab.mp4"
"CENG375","Introduction to Database Systems","/course-videos/CENG375-Introduction-to-Database-Systems.mp4","C:\Users\ThinkPad\Desktop\Coursality course videos\CENG375-Introduction-to-Database-Systems.mp4"
"CENG380","Microprocessors and Microcontrollers","/course-videos/CENG380-Microprocessors-and-Microcontrollers.mp4","C:\Users\ThinkPad\Desktop\Coursality course videos\CENG380-Microprocessors-and-Microcontrollers.mp4"
"CENG400","Computer Organization and Design","/course-videos/CENG400-Computer-Organization-and-Design.mp4","C:\Users\ThinkPad\Desktop\Coursality course videos\CENG400-Computer-Organization-and-Design.mp4"
"CENG400L","Microcontroller Applications Lab","/course-videos/CENG400L-Microcontroller-Applications-Lab.mp4","C:\Users\ThinkPad\Desktop\Coursality course videos\CENG400L-Microcontroller-Applications-Lab.mp4"
"CENG415","Communication Networks","/course-videos/CENG415-Communication-Networks.mp4","C:\Users\ThinkPad\Desktop\Coursality course videos\CENG415-Communication-Networks.mp4"
"CENG420","Web Programming and Technologies","/course-videos/CENG420-Web-Programming-and-Technologies.mp4","C:\Users\ThinkPad\Desktop\Coursality course videos\CENG420-Web-Programming-and-Technologies.mp4"
"CENG430L","Linux Lab","/course-videos/CENG430L-Linux-Lab.mp4","C:\Users\ThinkPad\Desktop\Coursality course videos\CENG430L-Linux-Lab.mp4"
